,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Windspeed
0,bengkulu,100.0,ID,1613395278,85.0,-3.8004,102.2655,79.5,3.29
1,camacha,40.0,PT,1613395348,72.0,33.0833,-16.3333,64.4,8.05
2,bluff,91.0,NZ,1613395348,81.0,-46.6,168.3333,48.0,1.01
3,saint-philippe,90.0,RE,1613395348,61.0,-21.3585,55.7679,84.2,4.61
4,kavali,0.0,IN,1613395349,70.0,14.9167,79.9833,74.23,8.81
5,klaksvik,75.0,FO,1613395349,100.0,62.2266,-6.589,46.4,16.11
6,taywarah,0.0,AF,1613395349,49.0,33.35,64.4167,41.72,3.24
7,ushuaia,75.0,AR,1613395180,62.0,-54.8,-68.3,53.6,5.75
8,pindwara,52.0,IN,1613395350,23.0,24.8,73.0667,74.64,7.09
9,georgetown,64.0,SH,1613395351,78.0,-7.9333,-14.4167,79.41,14.16
10,santa marta,44.0,CO,1613395351,73.0,11.2408,-74.199,81.0,5.01
11,nikolskoye,75.0,RU,1613395351,85.0,59.7035,30.7861,12.2,11.18
12,hobart,90.0,AU,1613395352,82.0,-42.8794,147.3294,60.01,6.91
13,severo-kurilsk,51.0,RU,1613395352,90.0,50.6789,156.125,21.67,6.71
14,butaritari,60.0,KI,1613395352,77.0,3.0707,172.7902,79.77,14.85
15,ribeira grande,40.0,PT,1613395352,62.0,38.5167,-28.7,57.2,21.85
17,busselton,2.0,AU,1613395353,90.0,-33.65,115.3333,73.0,1.99
18,longyearbyen,75.0,SJ,1613395353,86.0,78.2186,15.6401,21.2,4.61
19,qaanaaq,100.0,GL,1613395353,89.0,77.484,-69.3632,-0.9,2.19
20,kinkala,100.0,CG,1613395353,75.0,-4.3614,14.7644,83.5,2.93
21,cordoba,0.0,AR,1613395214,61.0,-31.4135,-64.1811,79.0,10.36
22,port blair,22.0,IN,1613395354,81.0,11.6667,92.75,78.89,10.49
23,dikson,100.0,RU,1613395354,84.0,73.5069,80.5464,-25.4,7.29
24,aleksandrov gay,94.0,RU,1613395354,92.0,50.147,48.5704,10.74,8.41
25,ngunguru,100.0,NZ,1613395355,95.0,-35.6167,174.5,66.99,7.0
26,galbshtadt,100.0,RU,1613395355,98.0,53.2264,78.9845,25.23,8.32
27,upernavik,100.0,GL,1613395088,90.0,72.7868,-56.1549,-4.32,6.35
28,yar-sale,100.0,RU,1613395355,90.0,66.8333,70.8333,-9.67,16.42
30,hithadhoo,19.0,MV,1613395356,72.0,-0.6,73.0833,83.03,7.45
31,bowen,90.0,AU,1613395356,94.0,-20.0167,148.2333,75.2,4.61
32,port alfred,83.0,ZA,1613395356,65.0,-33.5906,26.891,73.99,10.0
33,bredasdorp,2.0,ZA,1613395357,37.0,-34.5322,20.0403,71.6,17.27
35,mugango,20.0,TZ,1613395357,57.0,-1.6833,33.7,82.4,11.5
36,palana,100.0,RU,1613395357,94.0,59.1167,159.9667,-7.19,5.44
37,sliema,20.0,MT,1613395357,49.0,35.9125,14.5019,48.99,14.97
38,hasaki,20.0,JP,1613395358,76.0,35.7333,140.8333,53.6,4.61
40,kaitangata,69.0,NZ,1613395358,60.0,-46.2817,169.8464,51.01,8.01
42,jamestown,21.0,SH,1613395358,87.0,-15.9387,-5.7168,69.89,18.43
43,kraslava,87.0,LV,1613395323,94.0,55.8951,27.168,14.18,5.75
44,new norfolk,100.0,AU,1613395359,73.0,-42.7826,147.0587,60.01,1.41
45,sobolevo,100.0,RU,1613395360,93.0,54.4299,31.8996,7.74,7.74
46,verkhnyaya inta,100.0,RU,1613395361,90.0,65.9811,60.3094,-12.93,3.38
48,bang ban,24.0,TH,1613395361,62.0,14.3739,100.4853,87.01,1.99
49,kununurra,77.0,AU,1613395361,75.0,-15.7667,128.7333,82.4,2.3
50,saint-augustin,0.0,CA,1613395362,86.0,51.226,-58.6502,-1.01,9.04
51,qaqortoq,75.0,GL,1613395362,86.0,60.7167,-46.0333,24.8,8.05
52,tibati,100.0,CM,1613395362,10.0,6.4667,12.6333,99.48,7.14
53,kavaratti,0.0,IN,1613395362,57.0,10.5669,72.642,81.77,4.38
54,cape town,20.0,ZA,1613395088,35.0,-33.9258,18.4232,73.99,20.71
